,Unnamed: 0,LIME-DS_BAL_MASI_TFL,LIME-DS_QCALC,SCRUBBER_TOT_VOL,SCRUBBER_QCALC,GYP-CR_TOT_VOL,GYP-CR_QCALC,GAS-SP_BAL_MASI_TFL,GAS-SP_QCALC,GYP-SP_BAL_MASI_TFL,GYP-SP_QCALC,H2O,CO2,SO2,O2,CALCI-01,CALCI-02,N2,NA2O,AR,gypsum production,Unnamed: 21,EAC,TPC,Revenue
11,11,13.1014414,9.17146865,225018.743,1628.15667,231585.62,171.913832,120.393355,-290.876982,5.26540298,0.121840202,11.0492658,13.9953466,0.000493916,11.3351603,3.16e-84,3.18e-78,78.7030538,4.79e-80,0.044631911,0.797391016,4.29015e-06,231976.62316608365,37019.100395058456,3388911.8179999995
12,12,14.3795992,10.066224,246963.348,1786.74773,254175.665,188.685494,132.138802,-319.224129,5.78020754,0.133949487,12.1265666,15.3607131,0.000200776,12.4409168,3.53e-84,3.49e-78,86.3812111,5.26e-80,0.048986137,0.875389767,1.58894e-06,245293.14776436903,39180.445289147094,3720406.50975
13,13,15.6699286,10.9694998,269132.2,1947.34983,276987.377,205.616828,143.99601,-347.902264,6.29766922,0.145726968,13.2154294,16.7390804,0.000589802,13.5573747,3.8e-84,3.81e-78,94.1324848,5.7300000000000006e-80,0.053381825,0.953719012,4.28329e-06,258270.10982400787,41290.02010161393,4053305.801
14,14,0.444443821,0.311126269,7635.27496,55.3746109,7858.08561,5.81115341,4.08411868,-9.88513437,0.177981654,0.0040332,0.375204176,0.474767978,0.000210963,0.38457445,2.26e-87,1.0700000000000001e-79,2.6698654,1.6199999999999998e-81,0.001514061,0.026840489,5.40081e-05,30495.116638985197,4778.084338551617,114072.07824999999
15,15,2.29938359,1.60964919,39491.4839,285.783048,40645.1462,29.4056808,21.131245,-51.0369131,0.925965318,0.021317368,1.93878029,2.45626658,0.000129805,1.98940077,4.33e-87,5.62e-79,13.812869,8.39e-81,0.007833173,0.141200239,6.42432e-06,81699.49087424313,12877.16121817705,600101.01575
16,16,4.21048575,2.94748775,72316.5495,523.274319,74424.7441,54.4502672,38.6930452,-93.4655605,1.69415223,0.039089422,3.55048881,4.49776218,0.000191859,3.64285367,2.18e-87,1.03e-78,25.2932528,1.54e-80,0.014343613,0.25758383,5.18553e-06,117429.83154903591,18571.63701129485,1094731.2775
17,17,6.17340662,4.32160124,106026.421,767.124722,109120.54,81.0062333,56.7294258,-137.053876,2.48134231,0.057469705,5.20625569,6.59461546,0.000145717,5.34111221,1.42e-84,1.5e-78,37.0849238,2.26e-80,0.021030582,0.375770201,2.68612e-06,147721.49110532875,23423.41227843295,1597023.35425
18,18,8.18390838,5.72902301,140560.466,1016.99515,144652.505,106.332512,75.2065221,-181.670675,3.29186996,0.076175212,6.90124161,8.74229009,0.000247705,7.08057277,2.74e-87,1.99e-78,49.1624203,2.9900000000000002e-80,0.027879639,0.499423657,3.44444e-06,174933.41136075647,27798.185934015175,2122550.5422500004
19,19,10.2379542,7.16692713,175838.073,1272.24113,180967.369,134.340125,94.0798597,-227.294888,4.1148535,0.095266282,8.63414903,10.9364851,0.000302371,8.85769546,2.42e-84,2.49e-78,61.5014971,3.7400000000000005e-80,0.034877037,0.623151387,3.36099e-06,200080.79185371968,31855.602517598367,2648393.39475
20,20,12.3322969,8.63304051,211808.133,1532.49424,217987.689,161.821528,113.325451,-273.791021,4.95663661,0.114758829,10.400395,13.1737239,0.000357616,10.6696818,2.94e-84,3e-78,74.0826446,4.5100000000000005e-80,0.042011712,0.750634858,3.29999e-06,223709.24006023796,35678.829778763524,3190198.1465000003
21,21,14.4632723,10.124798,248415.645,1797.53798,255658.742,189.783582,132.907631,-321.129685,5.81207579,0.134379045,12.198154,15.4500942,0.000739956,12.5134437,3.42e-84,3.51e-78,86.8838519,5.29e-80,0.04927118,0.880152351,5.82205e-06,246153.8160888508,39320.413565941424,3740647.4917499996
22,22,16.6280416,11.6402125,285576.018,2066.05524,293917.456,218.189165,152.800481,-369.130047,6.68435109,0.154961743,14.0225249,17.7625659,0.000130449,14.3861949,4.05e-84,4.04e-78,99.8880675,6.0800000000000005e-80,0.056645774,1.01232313,8.92777e-07,267623.71178095054,42812.242349028034,4302373.3025
23,23,18.8233632,13.1770147,323279.532,2338.825,332722.334,246.995585,172.974006,-417.864325,7.56686306,0.175421734,15.8738475,20.1076735,0.000145305,16.2855355,4.6e-84,4.57e-78,113.075816,6.88e-80,0.064124447,1.14597929,8.78469e-07,288287.5107966155,46180.9247947668,4870411.9825
24,24,21.046972,14.7336189,361497.851,2615.97922,372038.674,276.173094,193.407319,-467.332657,8.45684786,0.195369266,17.7512874,22.4829961,0.001349823,18.2096474,4.99e-84,5.11e-78,126.433491,7.69e-80,0.071699483,1.28064209,7.29829e-06,308265.1337961851,49445.1786687426,5442728.8825
25,25,23.2964174,16.3083096,400102.959,2894.62053,411789.028,305.689795,214.078353,-517.164305,9.3649422,0.217095187,19.6460331,24.8859222,0.000198014,20.1555224,5.71e-84,5.66e-78,139.946373,8.52e-80,0.079362538,1.41829555,9.67274e-07,327612.37883641076,52612.22831944486,6027756.0875
26,26,25.5695828,17.8996051,439154.765,3177.44082,451974.843,335.517631,234.967144,-567.672806,10.2770509,0.23794288,21.563986,27.3141838,0.000730949,22.1223412,6.22e-84,6.21e-78,153.601745,9.35e-80,0.087106396,1.55637961,3.25314e-06,346430.8886482958,55699.2231459243,6614613.3425
27,27,27.865335,19.5067122,478569.626,3462.32041,492550.142,365.641899,256.063622,-618.591569,11.2015883,0.259668012,23.4990431,29.766575,0.000242184,24.1084457,6.86e-84,6.77e-78,167.392801,1.02e-79,0.094927201,1.69645377,9.89062e-07,364760.1410524434,58711.24403974901,7209928.5225
28,28,0.230236024,0.161173295,3992.57367,29.7893948,4085.21293,2.34163488,2.11570284,-5.27214969,0.087189608,0.001879802,0.197522751,0.245952702,0.001582899,0.199592308,2.99e-87,4.16e-80,1.38307824,8.849999999999999e-82,0.000784335,0.009928506,0.000780325,20634.763191701863,3228.462988980105,42196.1505
29,29,1.19085168,0.833637962,20454.2909,148.091671,21050.6513,15.6181197,10.9431682,-26.4499135,0.478260356,0.010934524,1.00453539,1.27210186,0.000182759,1.03034047,4.82e-85,2.9e-79,7.15369055,4.35e-81,0.004056804,0.072710829,1.7464e-05,55063.676217065215,8654.38294521866,309021.02325
30,30,2.18031814,1.5262992,37447.5685,271.036575,38541.2638,27.8685171,20.0370398,-48.4004874,0.877791729,0.020183245,1.83852602,2.32907758,0.000193897,1.88640445,4.9e-87,5.33e-79,13.0976185,7.949999999999999e-81,0.00742756,0.133769695,1.01203e-05,79136.55879945507,12469.980122325325,568521.20375
31,31,3.19616279,2.23742609,54898.1308,397.257565,53808.2404,41.9541704,29.3704285,-70.9711539,1.28403096,0.029764468,2.69577059,3.41423691,0.000203257,2.76529058,,7.74e-79,19.2000081,1.17e-80,0.010888181,0.19387579,7.23686e-06,98103.98161087956,15493.353711461288,823972.1074999999
32,32,4.23647111,2.96567842,72760.7679,526.758824,74887.6548,54.9273158,38.9315136,-94.0768446,1.70307422,0.039122944,3.57316946,4.52552057,0.000541769,3.66542325,2.06e-87,1.03e-78,25.4493522,1.55e-80,0.014432136,0.258659872,1.45525e-05,117864.59243073064,18641.310080378997,1099304.456
33,33,5.29924101,3.70965464,91013.1328,658.529878,93667.825,68.6627535,48.6980935,-117.630854,2.1320789,0.049279144,4.46854985,5.66080291,0.000168044,4.58481132,2.26e-87,1.29e-78,31.8336298,1.94e-80,0.018052612,0.323888816,3.60873e-06,134794.91506505624,21350.1919014344,1376527.468
34,34,6.38244748,4.46793717,109618.558,793.138665,112817.355,83.7489875,58.650365,-141.699301,2.56519761,0.059380389,5.38264471,6.81791896,0.000202545,5.52198331,1.52e-84,1.55e-78,38.3406752,2.33e-80,0.021742709,0.388472522,3.61138e-06,150702.924677372,23902.02400466434,1651008.2185
35,35,7.48472817,5.23957233,128550.927,930.136488,132296.959,97.2411446,68.7813692,-166.153078,3.01052682,0.069645655,6.31171142,7.99540531,0.000263231,6.47566361,2.55e-87,1.82e-78,44.9623011,2.73e-80,0.025497783,0.456729501,4.00225e-06,165811.04557110294,26329.754088021215,1941100.3792499998
36,36,8.60404543,6.02313369,147769.483,1069.10471,152085.754,112.900211,79.0653637,-191.008454,3.45857936,0.080146716,7.25594844,9.19109577,0.000123799,7.44403412,2.09e-84,2.09e-78,51.6862713,3.1500000000000002e-80,0.029310897,0.523784597,1.6374e-06,180265.4360942317,28657.78040930482,2226084.53725
37,37,9.73918509,6.81777127,167280.263,1210.13626,172150.54,127.79521,89.4965332,-216.206281,3.91494645,0.090735273,8.21319007,10.4036855,0.000117673,8.42612678,2.37e-84,2.37e-78,58.5052888,3.56e-80,0.03317791,0.592902754,1.37498e-06,194179.19233541354,30902.308352997938,2519836.7045000005
38,38,10.8890454,7.62271384,187029.597,1353.48632,192481.976,142.883319,100.06289,-241.790686,4.37503779,0.101024057,9.18411846,11.6319992,0.000781006,9.421123,2.57e-84,2.64e-78,65.4127356,3.98e-80,0.037095071,0.662514431,8.16201e-06,207622.67275830594,33074.88942178068,2815686.33175
39,39,12.0520636,8.4368674,206985.187,1497.4156,213032.107,158.144186,110.750344,-267.538385,4.84515024,0.112377435,10.1633969,12.874371,7.51e-07,10.4271417,2.97e-84,2.93e-78,72.3992262,4.4100000000000004e-80,0.041057058,0.733795792,7.08968e-09,220642.6251702928,35181.92273922434,3118632.116
40,40,13.2273536,9.25961162,227171.741,1643.53684,233807.929,173.566018,121.55045,-293.639872,5.31720523,0.123249639,11.1547598,14.1298504,0.00013303,11.4440061,3.25e-84,3.21e-78,79.4594348,4.84e-80,0.045060849,0.805275369,1.14451e-06,233307.29285108045,37234.82935375433,3422420.31825
41,41,14.413619,10.090039,247547.028,1790.95826,254776.922,189.131871,132.451424,-319.977323,5.79395737,0.134281045,12.1552128,15.397054,0.000178517,12.4703443,3.54e-84,3.5e-78,86.585575,5.27e-80,0.04910203,0.877475389,1.40945e-06,245640.8412701763,39236.917288327415,3729270.40325
42,42,0.295530793,0.206881924,247160.236,38.8611106,5252.17579,2.64407093,2.71571462,-6.85988616,0.109087833,0.002191257,0.255354664,0.315709198,0.002837137,0.256399004,6.8e-87,4.5400000000000005e-80,1.77532001,1.16e-81,0.001006775,0.010572154,0.001088432,132947.40948170848,20717.245350439473,44931.654500000004
43,43,1.5287945,1.07020979,26258.488,190.073773,27023.7986,20.0484384,14.0486702,-33.9502535,0.614204625,0.014064971,1.28948022,1.63310197,0.000174874,1.32271803,7.1e-85,3.72e-79,9.18378241,5.58e-81,0.005208054,0.093452375,1.30168e-05,63962.01427753728,10062.989865033785,397172.59375
44,44,2.79907071,1.95944771,48073.6893,347.951481,49479.5433,36.7407574,25.721439,-62.1595031,1.12429648,0.026016267,2.36096961,2.99005102,0.000245406,2.42174703,,6.780000000000001e-79,16.814594,1.02e-80,0.00953543,0.169788613,9.97701e-06,91926.50401597137,14504.228424151514,721601.60525
45,45,4.10324341,2.87241435,70476.9361,509.940343,72529.0412,53.0610265,37.7075278,-91.0840324,1.65103478,0.038098934,3.4600401,4.38320281,0.000178738,3.55006702,2.13e-87,1e-78,24.6490261,1.5e-80,0.013978277,0.251034148,4.95715e-06,115627.88748843822,18283.707495499002,1066895.129
46,46,5.43890384,3.80742352,93410.5272,675.893021,96138.6403,71.3681241,49.9798366,-120.752238,2.18593967,0.050595964,4.58692559,5.80999777,0.000182625,4.70564817,1.27e-84,1.32e-78,32.6726144,1.99e-80,0.018528394,0.331033121,3.82109e-06,136914.71391994896,21690.285869536456,1406890.76425
47,47,6.80344704,4.76265164,116847.497,845.442869,120255.542,88.2265228,62.5210451,-151.021093,2.73711531,0.063296001,5.73698993,7.2676399,0.000198291,5.88621997,2.71e-87,1.66e-78,40.8697048,2.49e-80,0.023176902,0.415632169,3.31679e-06,156586.4055021925,24846.531776262855,1766436.71825
48,48,8.19433472,5.73632182,140735.538,1018.22864,144837.719,106.434845,75.3024076,-181.893994,3.29642446,0.076328577,6.90985126,8.7534279,0.00016299,7.08957216,2.81e-87,1.99e-78,49.2250536,2.9900000000000002e-80,0.027915158,0.500150241,2.26356e-06,175065.9141642359,27819.48650870586,2125638.5242500002
49,49,9.60947002,6.72696617,165038.251,1194.06454,169851.267,125.005784,88.3064902,-213.310748,3.86518443,0.089562657,8.10329423,10.2651181,0.000178957,8.31391565,2.82e-87,2.34e-78,57.7260629,3.5100000000000004e-80,0.032736016,0.585999909,2.1193e-06,192616.9643368923,30649.62336731364,2490499.61325
50,50,11.0469895,7.73328028,189723.789,1372.53947,195258.373,143.663111,101.51672,-245.201559,4.4441687,0.103097038,9.31508376,11.8007189,5.17e-07,9.55757657,3.28e-87,2.69e-78,66.3615385,4.04e-80,0.03763313,0.673832453,5.32172e-09,209412.67972376538,33363.55031863875,2863787.9252500003
51,51,12.5044541,8.75355657,214755.051,1553.64973,221020.381,162.620649,114.910133,-277.555112,5.03037267,0.116675155,10.5441245,13.3576253,3.72e-05,10.8185472,3.72e-87,3.04e-78,75.1168276,4.5700000000000004e-80,0.042598189,0.762705312,3.38462e-07,225570.88783521997,35979.71177013262,3241497.5760000004
52,52,13.9813467,9.78743321,240119.178,1737.12114,247133.904,183.459791,128.479155,-310.365022,5.62074933,0.130368523,11.7903506,14.9352882,1.77e-06,12.0963089,3.44e-84,3.4e-78,83.9888263,5.11e-80,0.047629433,0.85125932,1.44115e-08,241193.84290074132,38514.6688714961,3617852.11
53,53,15.4746935,10.8328284,265768.22,1922.76114,273531.76,203.055078,142.201989,-343.527888,6.2206667,0.144202629,13.0499271,16.5305253,0.000136276,13.3883486,3.8e-84,3.76e-78,92.9596678,5.6600000000000004e-80,0.05271673,0.94210291,1.00217e-06,256330.99017242208,40974.479085399704,4003937.3675
54,54,16.9832569,11.8888757,291674.762,2110.09538,300196.012,222.850048,156.064687,-377.003891,6.82757736,0.158356661,14.3218294,18.1420176,2.16e-06,14.6934861,4.19e-84,4.13e-78,102.021919,6.2100000000000006e-80,0.057855865,1.03403453,1.45058e-08,271037.53494764125,43368.21089662435,4394646.7524999995
55,55,18.5068735,12.9554608,317862.001,2300.07479,327136.456,242.842485,170.065579,-410.908489,7.43706551,0.171959042,15.6084423,19.7695883,0.000927919,16.0119125,4.4499999999999995e-84,4.49e-78,111.174596,6.76e-80,0.063046279,1.12624468,5.70576e-06,285377.416527672,45706.29076156594,4786539.89
56,56,2.17716227,1.52408998,37393.4289,270.64226,38484.6441,28.0953795,20.0074859,-48.3373091,0.87576695,0.020205134,1.83606855,2.32570794,0.000190873,1.88367355,2.08e-87,5.3000000000000004e-79,13.0786612,7.949999999999999e-81,0.00741681,0.13291658,9.97676e-06,79067.33895433864,12459.117479975333,564895.4650000001
57,57,11.1105679,7.77778735,190817.679,1380.73131,196395.318,145.028849,102.09985,-246.661873,4.46696632,0.103488783,9.36984572,11.868637,0.000400604,9.6126835,2e-87,2.7e-78,66.7434673,4.0600000000000005e-80,0.037849719,0.676358227,4.10316e-06,210139.51237169368,33481.50533097521,2874522.4647500003
58,58,20.0853086,14.0604208,344976.016,2495.89502,355022.95,263.55614,184.570371,-445.912302,8.07291583,0.186948919,16.9387682,21.4557204,0.000526829,17.3774344,4.4499999999999995e-84,4.88e-78,120.656582,7.34e-80,0.068423442,1.22251836,2.98491e-06,299733.0559182068,48050.1336024795,5195703.03
59,59,29.3188732,20.5242399,503566.342,3643.4216,518212.513,381.563701,269.42625,-650.858636,11.7911795,0.272986787,24.7242924,31.3192811,0.000933641,25.3661827,8.24e-87,7.13e-78,176.124501,1.0700000000000001e-79,0.099878881,1.78753637,3.62389e-06,376056.478596955,60569.03810962068,7597029.5725
60,60,38.8655934,27.207279,667490.448,4829.06513,686947.804,505.572531,357.156538,-862.695227,15.6343475,0.36253579,32.7729533,41.5173689,0.000258273,33.6255948,1.12e-86,9.46e-78,233.473614,1.4200000000000002e-79,0.132401132,2.37042013,7.5624e-07,445315.18221389054,72010.35973273635,10074285.5525
61,61,48.6194573,34.035326,835004.643,6040.8535,859351.819,632.376209,446.790123,-1079.18306,19.5587823,0.45364505,40.9973947,51.9367331,0.000141135,42.0643623,1.42e-86,1.18e-77,292.067081,1.7800000000000002e-79,0.165629047,2.96548426,3.30349e-07,509323.7402581107,82648.94716099644,12603308.105
62,62,58.5628087,40.9960208,1005778.23,7276.31668,1035107.33,761.676807,538.164927,-1299.89334,23.5587754,0.546403532,49.3819799,62.5585132,0.000204344,50.6671146,1.72e-86,1.42e-77,351.798838,2.1400000000000003e-79,0.199502478,3.57195976,3.97088e-07,569462.5849097644,92698.3045275163,15180828.979999999
63,63,68.6811367,48.0792054,1179548.7,8533.40426,1213954.01,893.222685,631.147762,-1524.47291,27.6297542,0.64089982,57.9137898,73.3672086,0.000109334,59.4212128,2.03e-86,1.67e-77,412.581715,2.5100000000000002e-79,0.233971991,4.18923802,1.8116e-07,626585.0305166809,102290.11246267757,17804261.585000005
64,64,78.9580292,55.2733908,1356046.98,9810.2808,1395604.82,1026.85254,725.587675,-1752.58305,31.7640741,0.736796309,66.5795478,84.3452872,0.000134726,68.312527,2.35e-86,1.92e-77,474.317122,2.89e-79,0.268981677,4.81609019,1.94179e-07,681245.0811223997,111509.60723439921,20468383.3075
65,65,89.3788684,62.5683438,1535018.05,11105.0332,1579799.92,1162.35152,821.350398,-1983.88719,35.9563505,0.834044362,75.3666599,95.4771339,0.000147958,77.3283773,2.66e-86,2.17e-77,536.917247,3.27e-79,0.304481737,5.45173295,1.88386e-07,733830.9861254755,120416.15786793383,23169865.0375
66,66,99.9380248,69.9601238,1716362.7,12416.9505,1766439.61,1299.64356,918.384207,-2218.25886,40.2043767,0.932601773,84.270348,106.756735,0.000133335,86.4638892,2.9900000000000003e-86,2.43e-77,600.348272,3.6500000000000005e-79,0.340452995,6.09583572,1.51832e-07,784664.6342890781,129059.4774912986,25907301.81
67,67,110.616641,77.4355299,1899760.97,13743.7317,1955259.53,1451.4841,1016.49238,-2455.53608,44.469415,1.03135121,93.2823259,118.163969,0.000148159,95.7027652,2.7199999999999998e-83,2.6900000000000002e-77,664.496925,4.0400000000000003e-79,0.37683122,6.73486336,1.52423e-07,833938.2885192151,137474.62598378115,28623169.28
68,68,121.408111,84.9899377,2085096.45,15084.5356,2145937.63,1578.81221,1115.68444,-2694.82274,48.8417671,1.13294008,102.374425,129.691713,0.000164525,105.039274,3.64e-86,2.9500000000000002e-77,729.323498,4.44e-79,0.413593877,7.40544984,1.54217e-07,881816.2964000013,145667.49770882505,31473161.82
69,69,132.298158,92.6133523,2272245.65,16441.6089,2338484.48,1721.50291,1215.75626,-2937.04738,53.2020773,1.23094337,111.568341,141.324773,0.005681438,114.462449,3.8900000000000004e-86,3.22e-77,794.742242,4.8300000000000005e-79,0.450692351,8.06517038,4.88703e-06,928463.2091417913,153684.48421234993,34276974.114999995
